feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
double-object,25,CTX2t,FS,0.0,0.0,0.0
double-object,25,CTX2t,FScot,0.0,0.0,0.0
double-object,25,CTX2t,ZS,0.0,0.0,0.0
double-object,25,CTX2t,ZScot,0.0,0.0,0.0
double-object,25,noCTX,FS,0.0,0.0,0.0
double-object,25,noCTX,FScot,0.0,0.0,0.0
double-object,25,noCTX,ZS,0.0,0.0,0.0
double-object,25,noCTX,ZScot,0.0,0.0,0.0
double-tense,25,CTX2t,ZS,0.0,0.0,0.0
double-tense,25,noCTX,FS,0.0,0.0,0.0
double-tense,25,noCTX,FScot,0.0,0.0,0.0
double-tense,25,noCTX,ZS,0.0,0.0,0.0
existential-it,25,CTX1t,FS,0.0,0.0,0.0
existential-it,25,CTX1t,FScot,0.016447368421052655,-0.10526315789473684,-0.01238390092879249
existential-it,25,CTX1t,ZS,0.05592469545957918,0.10526315789473684,0.07350608143839232
existential-it,25,CTX1t,ZScot,-0.01827956989247309,-0.014619883040935644,-0.018333333333333424
existential-it,25,CTX2t,FS,-0.02007722007722007,0.0,-0.017195767195767153
existential-it,25,CTX2t,FScot,0.03492647058823528,0.10526315789473684,0.05623381428042917
existential-it,25,CTX2t,ZS,-0.0006418485237483784,0.05263157894736836,0.010526315789473717
existential-it,25,CTX2t,ZScot,-0.11422413793103448,-0.10526315789473684,-0.11764705882352933
existential-it,25,noCTX,FS,0.045045045045045085,-0.052631578947368474,0.03125
existential-it,25,noCTX,FScot,-0.053921568627450955,-0.05263157894736836,-0.05831903945111494
existential-it,25,noCTX,ZS,0.02777777777777779,-0.05263157894736836,0.013710879284649757
existential-it,25,noCTX,ZScot,0.01420454545454547,0.0,0.011312217194570207
is-was-gen,25,CTX1t,FS,-0.060846560846560815,-0.045454545454545414,-0.05551020408163265
is-was-gen,25,CTX1t,FScot,0.1530434782608695,0.09090909090909094,0.12482269503546106
is-was-gen,25,CTX1t,ZS,0.010769230769230753,0.045454545454545414,0.025709219858155996
is-was-gen,25,CTX1t,ZScot,-0.02777777777777779,-0.13636363636363635,-0.07453416149068315
is-was-gen,25,CTX2t,FS,-0.024827586206896624,0.09090909090909094,0.02169378389653731
is-was-gen,25,CTX2t,FScot,0.00988142292490124,0.045454545454545525,0.027272727272727337
is-was-gen,25,CTX2t,ZS,0.024844720496894346,-0.13636363636363635,-0.04444444444444451
is-was-gen,25,CTX2t,ZScot,0.050724637681159424,0.09090909090909083,0.06956521739130428
is-was-gen,25,noCTX,FS,0.04629629629629628,-0.045454545454545414,0.007098491570541321
is-was-gen,25,noCTX,FScot,-0.010000000000000009,-0.045454545454545414,-0.02590194264569834
is-was-gen,25,noCTX,ZS,0.03463203463203457,0.0,0.016913319238900604
is-was-gen,25,noCTX,ZScot,0.035573122529644285,0.0,0.018181818181818188
multiple-neg,25,CTX1t,FS,0.02318548387096775,0.0,0.014935064935064912
multiple-neg,25,CTX1t,FScot,0.0,0.0,0.0
multiple-neg,25,CTX1t,ZS,0.02318548387096775,0.0,0.014935064935064912
multiple-neg,25,CTX1t,ZScot,0.027093596059113323,0.0,0.01596516690856309
multiple-neg,25,CTX2t,FS,-0.07526881720430112,-0.04166666666666674,-0.06443381180223284
multiple-neg,25,CTX2t,FScot,0.0,0.0,0.0
multiple-neg,25,CTX2t,ZS,-0.043010752688172116,0.0,-0.02807017543859658
multiple-neg,25,CTX2t,ZScot,0.03703703703703709,0.04166666666666674,0.039215686274509776
multiple-neg,25,noCTX,FS,0.05977011494252882,0.04166666666666674,0.05310971348707205
multiple-neg,25,noCTX,FScot,0.027093596059113323,0.0,0.01596516690856309
multiple-neg,25,noCTX,ZS,0.008620689655172376,-0.08333333333333337,-0.02695417789757404
multiple-neg,25,noCTX,ZScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,ZS,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,ZScot,0.0,0.0,0.0
neg-inversion,25,CTX1t,FS,0.0,0.0,0.0
neg-inversion,25,CTX1t,FScot,0.0,0.0,0.0
neg-inversion,25,CTX1t,ZS,0.0,0.0,0.0
neg-inversion,25,CTX1t,ZScot,0.0,0.0,0.0
neg-inversion,25,CTX2t,FS,0.0,0.0,0.0
neg-inversion,25,CTX2t,FScot,0.0,0.0,0.0
neg-inversion,25,CTX2t,ZS,0.0,0.0,0.0
neg-inversion,25,CTX2t,ZScot,0.0,0.0,0.0
neg-inversion,25,noCTX,FS,0.25,0.0,0.2666666666666666
