feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
demonstrative-them,25,noCTX,FScot,0.0,0.0,0.0
demonstrative-them,25,noCTX,ZS,0.0,0.0,0.0
demonstrative-them,25,noCTX,ZScot,0.0,0.0,0.0
double-modal,25,CTX1t,ZS,0.0,0.0,0.0
double-modal,25,CTX1t,ZScot,0.0,0.0,0.0
double-modal,25,CTX2t,ZScot,0.0,0.0,0.0
double-modal,25,noCTX,ZS,0.0,0.0,0.0
double-modal,25,noCTX,ZScot,0.0,0.0,0.0
double-object,25,CTX1t,ZScot,0.0,0.0,0.0
double-object,25,CTX2t,ZScot,0.0,0.0,0.0
double-object,25,noCTX,ZScot,0.0,0.0,0.0
double-tense,25,CTX1t,ZS,0.0,0.0,0.0
double-tense,25,CTX1t,ZScot,0.0,0.0,0.0
double-tense,25,CTX2t,ZS,0.0,0.0,0.0
double-tense,25,CTX2t,ZScot,0.0,0.0,0.0
double-tense,25,noCTX,ZS,0.0,0.0,0.0
double-tense,25,noCTX,ZScot,0.0,0.0,0.0
existential-it,25,CTX1t,FS,0.0,0.0,0.0
existential-it,25,CTX1t,FScot,0.0,0.0,0.0
existential-it,25,CTX1t,ZS,0.0,0.0,0.0
existential-it,25,CTX1t,ZScot,0.0,0.0,0.0
existential-it,25,CTX2t,FS,0.0,0.0,0.0
existential-it,25,CTX2t,FScot,0.0,0.0,0.0
existential-it,25,CTX2t,ZS,0.0,0.0,0.0
existential-it,25,CTX2t,ZScot,0.0,0.0,0.0
existential-it,25,noCTX,FS,0.0,0.0,0.0
existential-it,25,noCTX,FScot,0.0,0.0,0.0
existential-it,25,noCTX,ZS,0.0,0.0,0.0
existential-it,25,noCTX,ZScot,-0.019480519480519487,-0.2,-0.042884990253411304
finna,25,CTX1t,FS,0.0,0.0,0.0
finna,25,CTX1t,FScot,0.0,0.0,0.0
finna,25,CTX1t,ZS,0.0,0.0,0.0
finna,25,CTX1t,ZScot,0.0,0.0,0.0
finna,25,CTX2t,FS,0.0,0.0,0.0
finna,25,CTX2t,FScot,0.0,0.0,0.0
finna,25,CTX2t,ZS,0.0,0.0,0.0
finna,25,CTX2t,ZScot,0.0,0.0,0.0
finna,25,noCTX,FS,0.0,0.0,0.0
finna,25,noCTX,FScot,0.0,0.0,0.0
finna,25,noCTX,ZS,0.0,0.0,0.0
finna,25,noCTX,ZScot,0.0,0.0,0.0
is-was-gen,25,CTX1t,FS,0.0,0.0,0.0
is-was-gen,25,CTX1t,FScot,0.0,0.0,0.0
is-was-gen,25,CTX1t,ZS,0.1,0.125,0.1111111111111111
is-was-gen,25,CTX1t,ZScot,-0.06236559139784946,-0.25,-0.09986504723346828
is-was-gen,25,CTX2t,FS,0.0,0.0,0.0
is-was-gen,25,CTX2t,FScot,-0.125,-0.125,-0.125
is-was-gen,25,CTX2t,ZS,-0.12307692307692308,0.125,-0.036199095022624445
is-was-gen,25,CTX2t,ZScot,-0.0393939393939394,-0.25,-0.06910569105691056
is-was-gen,25,noCTX,FS,0.0,0.0,0.0
is-was-gen,25,noCTX,FScot,0.0,0.0,0.0
is-was-gen,25,noCTX,ZS,0.0,0.0,0.0
is-was-gen,25,noCTX,ZScot,0.0,0.0,0.0
multiple-neg,25,CTX1t,FS,0.04999999999999999,0.0,0.06666666666666671
multiple-neg,25,CTX1t,FScot,0.007275132275132268,0.0,0.010103329506314596
multiple-neg,25,CTX1t,ZS,-0.08268733850129198,0.0,-0.0935672514619883
multiple-neg,25,CTX1t,ZScot,0.0140765765765766,-0.18181818181818177,0.0021186440677966045
multiple-neg,25,CTX2t,FS,0.03182870370370369,0.0,0.045128205128205146
multiple-neg,25,CTX2t,FScot,0.013480392156862725,0.0,0.018042646254784023
multiple-neg,25,CTX2t,ZS,-0.1539961013645224,-0.09090909090909094,-0.1919504643962848
multiple-neg,25,CTX2t,ZScot,0.023148148148148168,0.0,0.0312907431551499
multiple-neg,25,noCTX,FS,0.002490096208262599,0.0,0.003991291727140772
multiple-neg,25,noCTX,FScot,0.021321961620469093,0.0,0.03205128205128205
multiple-neg,25,noCTX,ZS,0.035885167464114825,0.0,0.04452690166975881
multiple-neg,25,noCTX,ZScot,-0.0057189542483660205,-0.09090909090909094,-0.011895684001830109
n-inv-neg-concord,25,CTX1t,FS,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,ZS,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,ZScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX2t,FS,0.0,0.0,0.0
n-inv-neg-concord,25,CTX2t,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX2t,ZS,0.0,0.0,0.0
n-inv-neg-concord,25,CTX2t,ZScot,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,FS,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,ZS,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,ZScot,0.0,0.0,0.0
neg-inversion,25,CTX1t,FS,0.0,0.0,0.0
neg-inversion,25,CTX1t,FScot,0.024305555555555552,0.0,0.04465709728867623
neg-inversion,25,CTX1t,ZS,0.03125,1.0,0.06060606060606061
neg-inversion,25,CTX1t,ZScot,0.0019255455712451838,0.0,0.003663003663003664
neg-inversion,25,CTX2t,FS,0.0,0.0,0.0
neg-inversion,25,CTX2t,FScot,0.005952380952380952,0.0,0.01090909090909091
neg-inversion,25,CTX2t,ZS,0.0,0.0,0.0
neg-inversion,25,CTX2t,ZScot,0.03125,1.0,0.06060606060606061
neg-inversion,25,noCTX,FS,0.0,0.0,0.0
neg-inversion,25,noCTX,FScot,0.007416081186572988,0.0,0.014253563390847712
neg-inversion,25,noCTX,ZS,0.003968253968253968,0.0,0.0075424261470773135
neg-inversion,25,noCTX,ZScot,0.0005747126436781609,0.0,0.0011114198388441215
past-tense-swap,25,CTX1t,FS,0.017857142857142856,1.0,0.03508771929824561
past-tense-swap,25,CTX1t,FScot,0.0016708860759493674,0.0,0.0032943995208146136
past-tense-swap,25,CTX1t,ZS,0.05555555555555555,1.0,0.10526315789473684
past-tense-swap,25,CTX1t,ZScot,0.005050505050505052,0.0,0.009892994144962648
past-tense-swap,25,CTX2t,FS,0.0,0.0,0.0
past-tense-swap,25,CTX2t,FScot,0.0013187259078920686,0.0,0.002585006959634123
past-tense-swap,25,CTX2t,ZS,-0.125,-1.0,-0.2222222222222222
past-tense-swap,25,CTX2t,ZScot,0.0037976400379763995,0.0,0.007419183889772127
past-tense-swap,25,noCTX,FS,-0.005147563486616335,0.0,-0.00992063492063492
past-tense-swap,25,noCTX,FScot,0.0009989707574014654,0.0,0.0019760479041916173
past-tense-swap,25,noCTX,ZS,0.07142857142857142,1.0,0.13333333333333333
past-tense-swap,25,noCTX,ZScot,0.0010238272524199553,0.0,0.0020199237937841424
preterite-had,25,CTX1t,FS,0.0,0.0,0.0
preterite-had,25,CTX1t,FScot,0.0,0.0,0.0
preterite-had,25,CTX1t,ZS,0.0,0.0,0.0
preterite-had,25,CTX1t,ZScot,0.0,0.0,0.0
preterite-had,25,CTX2t,FS,0.0,0.0,0.0
preterite-had,25,CTX2t,FScot,0.0,0.0,0.0
preterite-had,25,CTX2t,ZS,0.0,0.0,0.0
preterite-had,25,CTX2t,ZScot,0.0,0.0,0.0
preterite-had,25,noCTX,FS,0.0,0.0,0.0
preterite-had,25,noCTX,FScot,0.0,0.0,0.0
preterite-had,25,noCTX,ZS,0.0,0.0,0.0
preterite-had,25,noCTX,ZScot,0.0,0.0,0.0
resultant-done,25,CTX1t,FS,-0.08333333333333331,0.0,-0.09999999999999998
resultant-done,25,CTX1t,FScot,0.16666666666666669,0.0,0.16666666666666663
resultant-done,25,CTX1t,ZS,-0.07738095238095238,0.0,-0.1313131313131313
resultant-done,25,CTX1t,ZScot,0.0042857142857142885,0.0,0.007957559681697618
