feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
past-tense-swap,25,CTX1t,ZScot,0.05714285714285716,0.0,0.04999999999999999
past-tense-swap,25,CTX2t,FS,0.013888888888888895,0.0,0.015151515151515166
past-tense-swap,25,CTX2t,ZS,-0.10714285714285715,0.0,-0.08571428571428569
past-tense-swap,25,noCTX,FS,-0.033333333333333354,0.0,-0.02777777777777779
past-tense-swap,25,noCTX,ZS,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333
past-tense-swap,25,noCTX,ZScot,0.0,0.0,0.0
resultant-done,25,CTX1t,ZScot,0.0,0.0,0.0
resultant-done,25,CTX2t,FS,0.0,0.0,0.0
resultant-done,25,CTX2t,ZS,0.0,0.0,0.0
resultant-done,25,noCTX,FS,0.0,0.0,0.0
resultant-done,25,noCTX,ZS,0.0,0.0,0.0
resultant-done,25,noCTX,ZScot,0.0,0.0,0.0
verb-stem,25,CTX1t,FS,-0.16666666666666666,-0.2,-0.18181818181818182
verb-stem,25,CTX1t,ZS,-0.1111111111111111,-0.3,-0.16483516483516486
verb-stem,25,CTX1t,ZScot,0.03409090909090909,0.0,0.028846153846153855
verb-stem,25,CTX2t,FS,-0.038961038961038974,-0.2,-0.08333333333333334
verb-stem,25,CTX2t,ZS,0.0,0.2,0.0854700854700855
verb-stem,25,noCTX,FS,-0.013888888888888895,0.0,-0.010989010989011005
verb-stem,25,noCTX,ZS,0.07500000000000001,0.0,0.046153846153846156
verb-stem,25,noCTX,ZScot,0.01785714285714285,0.0,0.012820512820512803
zero-3sg-pres-s,25,CTX1t,FS,0.0,0.0,0.0
zero-3sg-pres-s,25,CTX1t,ZS,-0.07312252964426869,-0.0625,-0.07152496626180838
zero-3sg-pres-s,25,CTX1t,ZScot,0.05303030303030298,0.0,0.0368421052631579
zero-3sg-pres-s,25,CTX2t,FS,-0.0064102564102564985,0.004166666666666652,-0.00366300366300365
zero-3sg-pres-s,25,CTX2t,ZS,0.05944055944055948,-0.06666666666666665,0.025049439683586083
zero-3sg-pres-s,25,noCTX,FS,-0.025362318840579712,-0.05833333333333335,-0.0368421052631579
zero-3sg-pres-s,25,noCTX,ZS,-0.02766798418972327,0.05833333333333335,0.0
zero-3sg-pres-s,25,noCTX,ZScot,-0.04807692307692313,0.0,-0.0357142857142857
zero-copula,25,CTX1t,FS,0.016534391534391513,0.033333333333333326,0.022167487684729092
zero-copula,25,CTX1t,ZS,-0.0457792207792207,-0.03326612903225812,-0.04597701149425293
zero-copula,25,CTX1t,ZScot,0.05179615705931501,0.0,0.04399763453577765
zero-copula,25,CTX2t,FS,-0.0015948963317383713,0.03125,0.006974041069352954
zero-copula,25,CTX2t,ZS,-0.018435920309247678,0.0,-0.015310532164464763
zero-copula,25,noCTX,FS,0.0,0.0,0.0
zero-copula,25,noCTX,ZS,-0.0157804459691252,-0.0625,-0.02974983096686945
zero-copula,25,noCTX,ZScot,0.006658595641646503,0.0625,0.021478521478521584
zero-poss,25,CTX1t,FS,-0.25,0.0,-0.12121212121212122
zero-poss,25,CTX1t,ZS,-0.09999999999999998,0.0,-0.054545454545454564
zero-poss,25,CTX1t,ZScot,0.0,0.0,0.0
zero-poss,25,CTX2t,FS,0.0,0.0,0.0
zero-poss,25,CTX2t,ZS,0.0,0.09999999999999998,0.045454545454545414
zero-poss,25,noCTX,FS,0.09523809523809523,0.0,0.06060606060606066
zero-poss,25,noCTX,ZS,0.16666666666666663,0.20000000000000007,0.18181818181818188
zero-poss,25,noCTX,ZScot,-0.1785714285714286,0.20000000000000007,0.0
