feature,feature_set,instr,leg,d_precision_noCTX_minus_CTX1t,d_recall_noCTX_minus_CTX1t,d_f1_noCTX_minus_CTX1t
is-was-gen,25,ZS,noLeg,0.008064516129032251,-0.0714285714285714,-0.029661016949152574
is-was-gen,25,ZScot,Leg,0.08518518518518514,0.0,0.04326018808777421
is-was-gen,25,ZScot,noLeg,0.0052246603970742544,-0.1071428571428572,-0.04544147253379349
multiple-neg,25,FS,Leg,0.04787644787644785,0.0,0.026050420168067245
multiple-neg,25,FS,noLeg,0.04532163742690065,0.0,0.025311288017962896
multiple-neg,25,FScot,Leg,-0.05698529411764708,0.0,-0.028473019517795684
multiple-neg,25,FScot,noLeg,-0.08303571428571432,0.0,-0.04208144796380098
multiple-neg,25,ZS,Leg,0.02327327327327333,0.0,0.012836438923395477
multiple-neg,25,ZS,noLeg,0.02631578947368418,0.030303030303030276,0.028169014084507116
multiple-neg,25,ZScot,Leg,0.0,0.0,0.0
multiple-neg,25,ZScot,noLeg,0.026050420168067245,0.0,0.013608428446005294
n-inv-neg-concord,25,FS,Leg,-1.0,-1.0,-1.0
n-inv-neg-concord,25,FS,noLeg,0.0,0.0,0.0
n-inv-neg-concord,25,FScot,Leg,-1.0,-1.0,-1.0
n-inv-neg-concord,25,FScot,noLeg,-1.0,-1.0,-1.0
n-inv-neg-concord,25,ZS,Leg,-1.0,-1.0,-1.0
n-inv-neg-concord,25,ZS,noLeg,0.0,0.0,0.0
n-inv-neg-concord,25,ZScot,Leg,1.0,1.0,1.0
n-inv-neg-concord,25,ZScot,noLeg,0.5,0.0,0.33333333333333337
neg-inversion,25,FS,Leg,0.5,1.0,0.6666666666666666
neg-inversion,25,FS,noLeg,0.25,1.0,0.4
neg-inversion,25,FScot,Leg,0.25,1.0,0.4
neg-inversion,25,FScot,noLeg,0.3333333333333333,1.0,0.5
neg-inversion,25,ZS,Leg,0.0,0.0,0.0
neg-inversion,25,ZS,noLeg,0.0,0.0,0.0
neg-inversion,25,ZScot,Leg,0.0,0.0,0.0
neg-inversion,25,ZScot,noLeg,0.0,0.0,0.0
past-tense-swap,25,FS,Leg,0.16176470588235292,-0.05882352941176472,0.032454361054766734
past-tense-swap,25,FS,noLeg,0.13636363636363635,-0.05882352941176472,0.015151515151515138
past-tense-swap,25,FScot,Leg,0.07692307692307687,0.05882352941176472,0.06666666666666665
past-tense-swap,25,FScot,noLeg,0.0,0.0,0.0
past-tense-swap,25,ZS,Leg,0.05288461538461542,-0.05882352941176472,-0.012121212121212088
past-tense-swap,25,ZS,noLeg,-0.06666666666666665,-0.05882352941176472,-0.0625
past-tense-swap,25,ZScot,Leg,-0.008928571428571397,0.05882352941176472,0.029325513196480912
past-tense-swap,25,ZScot,noLeg,0.0,0.0,0.0
preterite-had,25,FS,Leg,0.08333333333333337,0.0,0.05714285714285705
preterite-had,25,FS,noLeg,0.17045454545454547,0.0,0.12605042016806722
preterite-had,25,FScot,Leg,-0.05555555555555558,0.0,-0.04166666666666663
preterite-had,25,FScot,noLeg,-0.22499999999999998,-0.16666666666666674,-0.2142857142857143
preterite-had,25,ZS,Leg,0.09090909090909088,0.16666666666666663,0.11764705882352944
preterite-had,25,ZS,noLeg,-0.037878787878787845,0.0,-0.0326797385620915
preterite-had,25,ZScot,Leg,0.16083916083916078,0.16666666666666663,0.17956656346749233
preterite-had,25,ZScot,noLeg,-0.028571428571428525,-0.33333333333333337,-0.09999999999999998
resultant-done,25,FS,Leg,0.0,0.0,0.0
resultant-done,25,FS,noLeg,0.0,-0.33333333333333337,-0.19999999999999996
