feature,feature_set,ctx,instr,d_precision_Leg_minus_noLeg,d_recall_Leg_minus_noLeg,d_f1_Leg_minus_noLeg
is-was-gen,25,noCTX,FScot,-0.007526881720430034,-0.0357142857142857,-0.020455873758036258
is-was-gen,25,noCTX,ZS,0.02777777777777779,0.0,0.013636363636363669
is-was-gen,25,noCTX,ZScot,0.05874840357598976,0.0,0.02934609250398723
multiple-neg,25,CTX1t,FS,0.02204836415362732,0.0,0.01247484909456742
multiple-neg,25,CTX1t,FScot,0.0,0.0,0.0
multiple-neg,25,CTX1t,ZS,0.02204836415362732,0.0,0.01247484909456742
multiple-neg,25,CTX1t,ZScot,0.026050420168067245,0.0,0.013608428446005294
multiple-neg,25,noCTX,FS,0.024603174603174516,0.0,0.013213981244671769
multiple-neg,25,noCTX,FScot,0.026050420168067245,0.0,0.013608428446005294
multiple-neg,25,noCTX,ZS,0.01900584795321647,-0.030303030303030276,-0.0028577260665442195
multiple-neg,25,noCTX,ZScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,FS,1.0,1.0,1.0
n-inv-neg-concord,25,CTX1t,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,ZS,0.0,0.0,0.0
n-inv-neg-concord,25,CTX1t,ZScot,-0.5,-1.0,-0.6666666666666666
n-inv-neg-concord,25,noCTX,FS,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,FScot,0.0,0.0,0.0
n-inv-neg-concord,25,noCTX,ZS,-1.0,-1.0,-1.0
n-inv-neg-concord,25,noCTX,ZScot,0.0,0.0,0.0
neg-inversion,25,CTX1t,FS,0.0,0.0,0.0
neg-inversion,25,CTX1t,FScot,0.0,0.0,0.0
neg-inversion,25,CTX1t,ZS,0.0,0.0,0.0
neg-inversion,25,CTX1t,ZScot,0.0,0.0,0.0
neg-inversion,25,noCTX,FS,0.25,0.0,0.2666666666666666
neg-inversion,25,noCTX,FScot,-0.08333333333333331,0.0,-0.09999999999999998
neg-inversion,25,noCTX,ZS,0.0,0.0,0.0
neg-inversion,25,noCTX,ZScot,0.0,0.0,0.0
past-tense-swap,25,CTX1t,FS,0.08823529411764708,0.11764705882352944,0.10338680926916222
past-tense-swap,25,CTX1t,FScot,0.0,0.0,0.0
past-tense-swap,25,CTX1t,ZS,-0.03749999999999998,0.0,-0.017045454545454586
past-tense-swap,25,CTX1t,ZScot,-0.1208791208791209,-0.05882352941176472,-0.08387096774193548
past-tense-swap,25,noCTX,FS,0.11363636363636365,0.11764705882352944,0.12068965517241381
past-tense-swap,25,noCTX,FScot,0.07692307692307687,0.05882352941176472,0.06666666666666665
past-tense-swap,25,noCTX,ZS,0.08205128205128209,0.0,0.033333333333333326
past-tense-swap,25,noCTX,ZScot,-0.1298076923076923,0.0,-0.054545454545454564
preterite-had,25,CTX1t,FS,0.2121212121212121,0.16666666666666663,0.21176470588235297
preterite-had,25,CTX1t,FScot,-0.06944444444444442,0.0,-0.04761904761904767
preterite-had,25,CTX1t,ZS,0.0,0.0,0.0
preterite-had,25,CTX1t,ZScot,-0.04395604395604391,-0.16666666666666663,-0.0736842105263158
preterite-had,25,noCTX,FS,0.125,0.16666666666666663,0.1428571428571428
preterite-had,25,noCTX,FScot,0.09999999999999998,0.16666666666666674,0.125
preterite-had,25,noCTX,ZS,0.12878787878787873,0.16666666666666663,0.15032679738562094
preterite-had,25,noCTX,ZScot,0.1454545454545454,0.33333333333333337,0.20588235294117652
resultant-done,25,CTX1t,FS,-0.25,0.0,-0.1428571428571429
resultant-done,25,CTX1t,FScot,0.0,0.0,0.0
resultant-done,25,CTX1t,ZS,0.0,0.0,0.0
resultant-done,25,CTX1t,ZScot,0.0,0.0,0.0
resultant-done,25,noCTX,FS,-0.25,0.33333333333333337,0.05714285714285705
resultant-done,25,noCTX,FScot,0.25,0.0,0.1428571428571429
resultant-done,25,noCTX,ZS,-0.25,0.0,-0.1428571428571429
resultant-done,25,noCTX,ZScot,0.25,0.0,0.1428571428571429
verb-stem,25,CTX1t,FS,0.0,0.04000000000000001,0.03295978905735003
verb-stem,25,CTX1t,FScot,-0.3194444444444444,-0.12,-0.1746880570409982
verb-stem,25,CTX1t,ZS,0.16544117647058826,0.12,0.13937282229965156
verb-stem,25,CTX1t,ZScot,0.07692307692307693,0.03999999999999998,0.05263157894736842
verb-stem,25,noCTX,FS,0.0,0.0,0.0
verb-stem,25,noCTX,FScot,0.26136363636363635,0.04000000000000001,0.08080808080808083
verb-stem,25,noCTX,ZS,0.15000000000000002,0.04000000000000001,0.0664092664092664
verb-stem,25,noCTX,ZScot,-0.12698412698412698,0.0,-0.01470588235294118
zero-3sg-pres-s,25,CTX1t,FS,0.0,0.0,0.0
zero-3sg-pres-s,25,CTX1t,FScot,0.030454042081949018,0.0625,0.04288288288288289
zero-3sg-pres-s,25,CTX1t,ZS,-0.04065040650406504,-0.03125,-0.03776379118844864
zero-3sg-pres-s,25,CTX1t,ZScot,-0.015476190476190421,-0.0625,-0.03378378378378377
zero-3sg-pres-s,25,noCTX,FS,-0.024390243902438935,-0.03125,-0.0273972602739726
zero-3sg-pres-s,25,noCTX,FScot,0.01768292682926831,0.0,0.011035007610350145
zero-3sg-pres-s,25,noCTX,ZS,0.02197802197802201,0.09375,0.05024743052912073
zero-3sg-pres-s,25,noCTX,ZScot,0.03205128205128205,0.0625,0.04460093896713624
zero-copula,25,CTX1t,FS,0.01655081098973843,-0.032786885245901565,-0.01070472792149868
